2021/10/04 (Ultima actualización / Azken eguneratzea);
Osasun-eremuaren kodea / Código zona de salud;Osasun-eremuak/Zonas de salud;Positiboak/Positivos;TISak guztira/Total de TIS;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Mortalidad;
3204;VALLE DE LENIZ;1457;11440;12736,0;25;1,7;
1120;VALLES ALAVESES I;510;4718;10809,7;4;0,8;
1121;VALLES ALAVESES II;295;2420;12190,1;6;2,0;
3405;VILLABONA;2075;15969;12993,9;19;0,9;
1114;ZABALGANA;2808;24553;11436,5;12;0,4;
2208;ZABALLA;1520;13057;11641,3;25;1,6;
2111;ZALLA;1266;11740;10783,6;24;1,9;
1115;ZARAMAGA;1685;14444;11665,7;44;2,6;
3519;ZARAUTZ-ORIO-AIA;3768;32394;11631,8;49;1,3;
2321;ZORROZA- ALONSOTEGI;1705;14596;11681,3;48;2,8;
2209;ZUAZO;1834;17974;10203,6;26;1,4;
3520;ZUMAIA-ZESTOA-GETARIA;2313;17599;13142,8;19;0,8;
3307;ZUMARRAGA;2135;18583;11489,0;34;1,6;
2303;ZURBARAN;1169;9604;12172,0;45;3,8;
